[texto1] [polícia=homem]
[pelo=menos] [tiro]
[tiro] [de]
[de] [policial]
[policial] [levar]
[levar] [tiro]
[tiro] [de=raspão]
[de=raspão] [em]
[em] [braço=direito]
[braço=direito] [avó]
[avó] [de]
[de] [formiga]
[formiga] [ser]
[ser] [ferir]
[ferir] [em]
[em] [braço]
[braço] [esquerdo]
[esquerdo] [seguir]
[seguir] [internado]
[internado] [em]
[em] [hps]
[hps] [suspeita]
[suspeita] [ser]
[ser] [de]
[de] [disparo]
[disparo] [atingir]
[atingir] [partir]
[partir] [de]
[de] [arma]
[arma] [de]
[de] [suspeito]
[suspeito] [pistola]
[pistola] [apreender]
[apreender] [em]
[em] [ação]
[ação] [em]
[em] [cueca]
[cueca] [formiga]
[formiga] [trazer]
[trazer] [ainda]
[ainda] [distintivo]
[distintivo] [de]
[de] [polícia=civil]

[texto3] [guerra]
[guerra] [de]
[de] [tráfico]
[tráfico] [medo]
[medo] [comandar]
[comandar] [em]
[em] [rua]
[rua] [de]
[de] [maria=da=conceição=moradores]
[maria=da=conceição=moradores] [de]
[de] [vila]
[vila] [de]
[de] [bairro=partenon]
[bairro=partenon] [em]
[em] [capital]
[capital] [estar]
[estar] [viver]
[viver] [sob]
[sob] [toque]
[toque] [de]
[de] [recolher]
[recolher] [aline=custódio]
[aline=custódio] [aline.custodio@diariogaucho.com.br]
[aline.custodio@diariogaucho.com.br] [assassinato]
[assassinato] [ocorrer]
[ocorrer] [em]
[em] [vila=maria=da=conceição]
[vila=maria=da=conceição] [em]
[em] [bairro=partenon]
[bairro=partenon] [em]
[em] [porto=alegre]
[porto=alegre] [em=menos=de]
[em=menos=de] [hora]
[hora] [entre]
[entre] [dia]
[dia] [de]
[de] [maio]
[maio] [fazer]
[fazer] [ressurgir]
[ressurgir] [toque]
[toque] [de]
[de] [recolher]
[recolher] [entre]
[entre] [mais=de]
[mais=de] [morador]
[morador] [de]
[de] [região]
[região] [desde]
[desde] [quinta-feira]
[quinta-feira] [de]
[de] [semana]
[semana] [passado]
[passado] [pessoa]
[pessoa] [ter]
[ter] [evitar]
[evitar] [andar]
[andar] [em]
[em] [rua]
[rua] [de]
[de] [área]
[área] [a=partir=de]
[a=partir=de] [escola]
[escola] [creche]
[creche] [liberar]
[liberar] [aluno]
[aluno] [mais]
[mais] [cedo]
[cedo] [bm]
[bm] [pedir]
[pedir] [calma]
[calma] [a]
[a] [comunidade]
[comunidade] [morador]
[morador] [dizer]
[dizer] [decisão]
[decisão] [ter]
[ter] [partir]
[partir] [de]
[de] [próprio]
[próprio] [vizinhança]
[vizinhança] [em]
[em] [quinto]
[quinto] [em]
[em] [sexta-feira]
[sexta-feira] [creche]
[creche] [entidade]
[entidade] [social]
[social] [localizar]
[localizar] [em]
[em] [rua=mário=de=artagão]
[rua=mário=de=artagão] [fechar]
[fechar] [porta]
[porta] [antes]
[antes] [de]
[de] [horário]
[horário] [prever]
[prever] [com]
[com] [justificativa]
[justificativa] [de]
[de] [temer]
[temer] [tiroteio]
[tiroteio] [entre]
[entre] [traficante]
[traficante] [já]
[já] [em]
[em] [escola=estadual=de=ensino=médio=otávio=rocha]
[escola=estadual=de=ensino=médio=otávio=rocha] [em]
[em] [rua=guilherme=alves]
[rua=guilherme=alves] [professor]
[professor] [confirmar]
[confirmar] [aluno]
[aluno] [de]
[de] [turno]
[turno] [de]
[de] [noite]
[noite] [abandonar]
[abandonar] [aula]
[aula] [mais]
[mais] [cedo]
[cedo] [em]
[em] [noite]
[noite] [em]
[em] [sábado]
[sábado] [ser]
[ser] [adiar]
[adiar] [por]
[por] [tempo]
[tempo] [indeterminar]
[indeterminar] [festa]
[festa] [de]
[de] [dia=das=mães]
[dia=das=mães] [ocorrer]
[ocorrer] [em]
[em] [creche]
[creche] [de]
[de] [vila]
[vila] [ontem]
[ontem] [a]
[a] [creche]
[creche] [voltar]
[voltar] [a]
[a] [liberar]
[liberar] [criança]
[criança] [mais]
[mais] [cedo]
[cedo] [evitar]
[evitar] [sair]
[sair] [a]
[a] [noite]
[noite] [não]
[não] [ver]
[ver] [clima]
[clima] [de]
[de] [tensão]
[tensão] [em]
[em] [vizinhança]
[vizinhança] [há]
[há] [tempo]
[tempo] [morador]
[morador] [já]
[já] [viver]
[viver] [situação]
[situação] [parecido]
[parecido] [não]
[não] [esperar]
[esperar] [aviso]
[aviso] [decidir]
[decidir] [evitar]
[evitar] [rua]
[rua] [depois]
[depois] [de]
[de] [contar]
[contar] [auxiliar]
[auxiliar] [administrativo]
[administrativo] [viver]
[viver] [há]
[há] [ano]
[ano] [em]
[em] [vila=maria=da=conceição]
[vila=maria=da=conceição] [viatura]
[viatura] [não]
[não] [dar]
[dar] [tranquilidade]
[tranquilidade] [nem=mesmo]
[nem=mesmo] [viatura]
[viatura] [de]
[de] [19º]
[19º] [bpm]
[bpm] [estar]
[estar] [permanente]
[permanente] [em]
[em] [vila]
[vila] [dar]
[dar] [tranquilidade]
[tranquilidade] [a]
[a] [voltar]
[voltar] [a]
[a] [conviver]
[conviver] [com]
[com] [medo]
[medo] [morar]
[morar] [há]
[há] [quase]
[quase] [ano]
[ano] [em]
[em] [coração]
[coração] [de]
[de] [região]
[região] [morador]
[morador] [afirmar]
[afirmar] [temer]
[temer] [volta]
[volta] [de]
[de] [tiroteio]
[tiroteio] [constante]
[constante] [estar]
[estar] [tranqüilo]
[tranqüilo] [sem]
[sem] [problema]
[problema] [só]
[só] [esperar]
[esperar] [morte]
[morte] [não]
[não] [ser]
[ser] [início]
[início] [de]
[de] [novo]
[novo] [inferno]
[inferno] [por=aqui]
[por=aqui] [conseguir]
[conseguir] [acabar]
[acabar] [com]
[com] [desabafar]
[desabafar] [em]
[em] [madrugada]
[madrugada] [de]
[de] [domingo]
[domingo] [por=volta=de]
[por=volta=de] [min]
[min] [policial]
[policial] [de]
[de] [grupo=de=ações=táticas=especiais]
[grupo=de=ações=táticas=especiais] [gate]
[gate] [ser]
[ser] [acionar]
[acionar] [para]
[para] [desarmar]
[desarmar] [granada]
[granada] [abandonar]
[abandonar] [em]
[em] [de]
[de] [rua]
[rua] [de]
[de] [vila]
[vila] [polícia]
[polícia] [ainda]
[ainda] [não]
[não] [saber]
[saber] [ter]
[ter] [deixar]
[deixar] [explosivo]
[explosivo] [bm]
[bm] [monitor]
[monitor] [vila]
[vila] [de=acordo]
[de=acordo] [com]
[com] [comandante]
[comandante] [de]
[de] [1ª]
[1ª] [ciar]
[ciar] [de]
[de] [19º]
[19º] [bpm]
[bpm] [major]
[major] [marco=antônio=dos=santos=amaral]
[marco=antônio=dos=santos=amaral] [monitoramento]
[monitoramento] [de]
[de] [região]
[região] [ser]
[ser] [constante]
[constante] [pelo=menos]
[pelo=menos] [prisão]
[prisão] [por]
[por] [tráfico]
[tráfico] [ser]
[ser] [fazer]
[fazer] [mensal]
[mensal] [em]
[em] [maria=da=conceição]
[maria=da=conceição] [somente]
[somente] [entre]
[entre] [noite]
[noite] [de]
[de] [quinta]
[quinta] [tarde]
[tarde] [de]
[de] [sexta-feira]
[sexta-feira] [passado]
[passado] [brigada=militar]
[brigada=militar] [prender]
[prender] [homem]
[homem] [por]
[por] [traficar]
[traficar] [em]
[em] [viela]
[viela] [estreito]
[estreito] [de]
[de] [comunidade]
[comunidade] [em]
[em] [sábado]
[sábado] [por=volta=de]
[por=volta=de] [suspeito]
[suspeito] [tentar]
[tentar] [atirar]
[atirar] [contra]
[contra] [viatura]
[viatura] [ser]
[ser] [balear]
[balear] [em]
[em] [barriga]
[barriga] [ser]
[ser] [socorrer]
[socorrer] [por]
[por] [pm]
[pm] [encaminhar]
[encaminhar] [para]
[para] [hps]
[hps] [com]
[com] [ser]
[ser] [apreender]
[apreender] [revólver]
[revólver] [calibre]
[calibre] [fumaça]
[fumaça] [grande]
[grande] [fogo]
[fogo] [em]
[em] [noite]
[noite] [de]
[de] [ontem]
[ontem] [pelo=menos]
[pelo=menos] [pm]
[pm] [fazer]
[fazer] [abordagem]
[abordagem] [barreira]
[barreira] [em]
[em] [entornar]
[entornar] [de]
[de] [vila=maria=da=conceição]
[vila=maria=da=conceição] [com]
[com] [missão]
[missão] [de]
[de] [garantir]
[garantir] [segurança]
[segurança] [onde]
[onde] [incidência]
[incidência] [de]
[de] [tráfico]
[tráfico] [ser]
[ser] [considerável]
[considerável] [como]
[como] [ser]
[ser] [caso]
[caso] [de]
[de] [maria=da=conceição]
[maria=da=conceição] [quando]
[quando] [morrer]
[morrer] [traficante]
[traficante] [morador]
[morador] [ficar]
[ficar] [temeroso]
[temeroso] [de]
[de] [represália]
[represália] [em]
[em] [momento]
[momento] [fumaça]
[fumaça] [estar]
[estar] [grande]
[grande] [fogo]
[fogo] [ser]
[ser] [preciso]
[preciso] [manter]
[manter] [tranquilidade]
[tranquilidade] [estar]
[estar] [dentro=de]
[dentro=de] [vila]
[vila] [hora]
[hora] [população]
[população] [não]
[não] [estar]
[estar] [desproteger]
[desproteger] [garantir]
[garantir] [comandante]
[comandante] [confronto]
[confronto] [em]
[em] [noite]
[noite] [de]
[de] [de]
[de] [maio]
[maio] [carlos=maurício=silva=rabelini]
[carlos=maurício=silva=rabelini] [boquinha]
[boquinha] [ano]
[ano] [ser]
[ser] [matar]
[matar] [com]
[com] [mais=de]
[mais=de] [tiro]
[tiro] [em]
[em] [casa]
[casa] [em]
[em] [rua=joão=do=rio]
[rua=joão=do=rio] [boquinha]
[boquinha] [ser]
[ser] [enteado]
[enteado] [de]
[de] [traficante]
[traficante] [paulo=ricardo=santos=da=silva]
[paulo=ricardo=santos=da=silva] [paulão=da=conceição]
[paulão=da=conceição] [mesmo]
[mesmo] [prender]
[prender] [ser]
[ser] [apontar]
[apontar] [por]
[por] [polícia]
[polícia] [como]
[como] [patrão]
[patrão] [de]
[de] [tráfico]
[tráfico] [de]
[de] [vila]
[vila] [de]
[de] [traficante]
[traficante] [muito]
[muito] [antigo]
[antigo] [ainda]
[ainda] [em=atividade]
[em=atividade] [em]
[em] [capital]
[capital] [em]
[em] [de]
[de] [maio]
[maio] [por=volta=de]
[por=volta=de] [min]
[min] [bruno=bicca]
[bruno=bicca] [ano]
[ano] [ser]
[ser] [executar]
[executar] [com]
[com] [tiro]
[tiro] [em]
[em] [cabeça]
[cabeça] [na=frente=de]
[na=frente=de] [casa]
[casa] [em]
[em] [rua=paulino=azurenha]
[rua=paulino=azurenha] [também]
[também] [fazer]
[fazer] [parte]
[parte] [de]
[de] [grupo]
[grupo] [de]
[de] [paulão]
[paulão] [polícia]
[polícia] [suspeitar]
[suspeitar] [haver]
[haver] [acordo]
[acordo] [entre]
[entre] [traficante]
[traficante] [de]
[de] [conceição]
[conceição] [grupo]
[grupo] [de]
[de] [restinga]
[restinga] [para]
[para] [barrar]
[barrar] [avanço]
[avanço] [de]
[de] [facção]
[facção] [de]
[de] [bala]
[bala] [em]
[em] [cara]
[cara] [em]
[em] [vila]
[vila] [a1ª]
[a1ª] [dhpp]
[dhpp] [investigar]
[investigar] [morte]
[morte] [ocorrer]
[ocorrer] [em]
[em] [vila=maria=da=conceição]

[texto5] [tragédia]
[tragédia] [em]
[em] [capital=três]
[capital=três] [irmão]
[irmão] [morrer]
[morrer] [em]
[em] [incêndio]
[incêndio] [em]
[em] [bairro=belém=novo]
[bairro=belém=novo] [em]
[em] [zona=sul=duas]
[zona=sul=duas] [criança]
[criança] [de]
[de] [ano]
[ano] [jovem]
[jovem] [de]
[de] [ano]
[ano] [ser]
[ser] [encontrar]
[encontrar] [sem]
[sem] [vida]
[vida] [em=casa]
[em=casa] [em]
[em] [vila=júlia=aline=custódio]
[vila=júlia=aline=custódio] [aline.custodio@diariogaucho.com.br]
[aline.custodio@diariogaucho.com.br] [irmão]
[irmão] [morrer]
[morrer] [em]
[em] [incêndio]
[incêndio] [atingir]
[atingir] [casa]
[casa] [em]
[em] [vila=júlia]
[vila=júlia] [em]
[em] [bairro=belém=novo]
[bairro=belém=novo] [em]
[em] [zona=sul=da=capital]
[zona=sul=da=capital] [em]
[em] [tarde]
[tarde] [de]
[de] [quinta-feira]
[quinta-feira] [de=acordo]
[de=acordo] [com]
[com] [polícia=civil]
[polícia=civil] [clai=jesus=silva=de=oliveira]
[clai=jesus=silva=de=oliveira] [ano]
[ano] [ser]
[ser] [encontrar]
[encontrar] [em]
[em] [parte]
[parte] [de]
[de] [fundo]
[fundo] [de]
[de] [casa]
[casa] [entre]
[entre] [cozinha]
[cozinha] [área]
[área] [de]
[de] [serviço]
[serviço] [corpo]
[corpo] [de]
[de] [criança]
[criança] [renan]
[renan] [de]
[de] [ano]
[ano] [rafaela]
[rafaela] [de]
[de] [ano]
[ano] [estar]
[estar] [em]
[em] [parte]
[parte] [de]
[de] [frente]
[frente] [de]
[de] [residência]
[residência] [completo]
[completo] [carbonizado]
[carbonizado] [segundo]
[segundo] [capitão]
[capitão] [marcelo=nogueira=da=silva]
[marcelo=nogueira=da=silva] [comandante]
[comandante] [de]
[de] [2ª]
[2ª] [ciar]
[ciar] [de]
[de] [21º]
[21º] [bpm]
[bpm] [casa]
[casa] [localizar]
[localizar] [em]
[em] [beco=três]
[beco=três] [com]
[com] [acesso]
[acesso] [por]
[por] [avenida=do=lami]
[avenida=do=lami] [possuir]
[possuir] [peça]
[peça] [de]
[de] [alvenaria]
[alvenaria] [de]
[de] [madeira]
[madeira] [fogo]
[fogo] [ter]
[ter] [iniciar]
[iniciar] [por=volta=de]
[por=volta=de] [min]
[min] [perícia]
[perícia] [estar]
[estar] [em]
[em] [local]
[local] [para]
[para] [investigar]
[investigar] [causa]
[causa] [de]
[de] [incêndio]

[texto6] [prisão=três]
[prisão=três] [homem]
[homem] [ser]
[ser] [prender]
[prender] [após]
[após] [assalto]
[assalto] [em]
[em] [canoas=foram]
[canoas=foram] [encontrar]
[encontrar] [arma]
[arma] [cofre]
[cofre] [roubar]
[roubar] [de]
[de] [empresa]
[empresa] [homem]
[homem] [ser]
[ser] [prender]
[prender] [em]
[em] [manhã]
[manhã] [com]
[com] [arma]
[arma] [entre]
[entre] [revólver]
[revólver] [pistola]
[pistola] [além=de]
[além=de] [cofre]
[cofre] [ainda]
[ainda] [fechar]
[fechar] [haver]
[haver] [ser]
[ser] [roubar]
[roubar] [de]
[de] [empresa=de=vigilância]
[empresa=de=vigilância] [em]
[em] [rua=berto=círio]
[rua=berto=círio] [bairro=são=luiz]
[bairro=são=luiz] [em]
[em] [canoas]
[canoas] [dar]
[dar] [alerta]
[alerta] [polícia=rodoviária=federal]
[polícia=rodoviária=federal] [prf]
[prf] [brigada=militar]
[brigada=militar] [perseguir]
[perseguir] [trio]
[trio] [em]
[em] [br-386]
[br-386] [onde]
[onde] [criminoso]
[criminoso] [perder]
[perder] [controle]
[controle] [de]
[de] [marea]
[marea] [usar]
[usar] [em]
[em] [roubo]
[roubo] [tentar]
[tentar] [refugiar]
[refugiar] [em]
[em] [matagal]
[matagal] [polícia]
[polícia] [ainda]
[ainda] [não]
[não] [confirmar]
[confirmar] [identificação]
[identificação] [de]
[de] [preso]
[preso] [estar]
[estar] [ser]
[ser] [conduzir]
[conduzir] [a]
[a] [dppa]
[dppa] [de]
[de] [canoas]

[texto7] [furtos]
[furtos] [em]
[em] [veículo]
[veículo] [ladrão]
[ladrão] [de]
[de] [estepe]
[estepe] [atacar]
[atacar] [em]
[em] [menino]
[menino] [deus=dupla]
[deus=dupla] [furtar]
[furtar] [estepe]
[estepe] [objeto]
[objeto] [de]
[de] [carro]
[carro] [estacionar]
[estacionar] [em]
[em] [local]
[local] [carolina=rocha]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina.rocha@diariogaucho.com.br] [morador]
[morador] [frequentador]
[frequentador] [de]
[de] [bairro=menino=deus]
[bairro=menino=deus] [precisar]
[precisar] [estacionar]
[estacionar] [carro]
[carro] [em]
[em] [rua]
[rua] [estar]
[estar] [preocupar]
[preocupar] [com]
[com] [supor]
[supor] [carro]
[carro] [preto]
[preto] [circular]
[circular] [por]
[por] [rua]
[rua] [de]
[de] [bairro]
[bairro] [a]
[a] [noite]
[noite] [tripular]
[tripular] [por]
[por] [homem]
[homem] [medo]
[medo] [de]
[de] [morador]
[morador] [não]
[não] [ser]
[ser] [de]
[de] [sequestro]
[sequestro] [nem]
[nem] [de]
[de] [assalto]
[assalto] [dupla]
[dupla] [andar]
[andar] [em]
[em] [carro]
[carro] [escuro]
[escuro] [só]
[só] [furtar]
[furtar] [estepe]
[estepe] [objeto]
[objeto] [de]
[de] [vítima]
[vítima] [dona]
[dona] [de]
[de] [Ágile]
[Ágile] [ver]
[ver] [de]
[de] [janela]
[janela] [de]
[de] [casa]
[casa] [dupla]
[dupla] [arrombar]
[arrombar] [veículo]
[veículo] [haver]
[haver] [deixar]
[deixar] [carro]
[carro] [em]
[em] [rua=rafael=saadi]
[rua=rafael=saadi] [por=causa=de]
[por=causa=de] [chuvarada]
[chuvarada] [haver]
[haver] [faltar]
[faltar] [luz]
[luz] [com]
[com] [não]
[não] [conseguir]
[conseguir] [acionar]
[acionar] [portão]
[portão] [de]
[de] [garagem]
[garagem] [descer]
[descer] [de]
[de] [carro]
[carro] [entrar]
[entrar] [em]
[em] [prédio]
[prédio] [ser]
[ser] [tempo]
[tempo] [de]
[de] [chegar]
[chegar] [em]
[em] [apartamento]
[apartamento] [ver]
[ver] [homem]
[homem] [rondar]
[rondar] [Ágile]
[Ágile] [em=frente]
[em=frente] [a]
[a] [estar]
[estar] [carro]
[carro] [preto]
[preto] [querer]
[querer] [com]
[com] [carro]
[carro] [quando]
[quando] [abrir]
[abrir] [janela]
[janela] [de]
[de] [estar]
[estar] [abrir]
[abrir] [porta]
[porta] [traseiro]
[traseiro] [de]
[de] [passageiro]
[passageiro] [gritar]
[gritar] [moço]
[moço] [querer]
[querer] [com]
[com] [carro]
[carro] [cobrir]
[cobrir] [rosto]
[rosto] [com]
[com] [camiseta]
[camiseta] [jogar]
[jogar] [estepe]
[estepe] [de]
[de] [carro]
[carro] [em]
[em] [porta-malas]
[porta-malas] [de]
[de] [de]
[de] [sair]
[sair] [contar]
[contar] [arrombamento]
[arrombamento] [atribuir]
[atribuir] [a]
[a] [dupla]
[dupla] [acontecer]
[acontecer] [assim=que]
[assim=que] [anoitecer]
[anoitecer] [geralmente]
[geralmente] [em]
[em] [transversal]
[transversal] [de]
[de] [pequeno]
[pequeno] [movimento]
[movimento] [entre]
[entre] [avenida]
[avenida] [praia=de=belas]
[praia=de=belas] [getúlio=vargas]
[getúlio=vargas] [como]
[como] [bastian]
[bastian] [ser]
[ser] [em]
[em] [via]
[via] [dona]
[dona] [de]
[de] [Ágile]
[Ágile] [também]
[também] [ter]
[ter] [carro]
[carro] [abrir]
[abrir] [por]
[por] [criminoso]
[criminoso] [haver]
[haver] [descer]
[descer] [para]
[para] [ir]
[ir] [a]
[a] [dentista]
[dentista] [estacionar]
[estacionar] [carro]
[carro] [em]
[em] [via]
[via] [minuto]
[minuto] [depois]
[depois] [voltar]
[voltar] [notar]
[notar] [controle]
[controle] [já=não]
[já=não] [destravar]
[destravar] [porta]
[porta] [ladrão]
[ladrão] [ter]
[ter] [conseguir]
[conseguir] [desligar]
[desligar] [bateria]
[bateria] [abrir]
[abrir] [carro]
[carro] [levar]
[levar] [estepe]
[estepe] [em]
[em] [maio]
[maio] [já]
[já] [ser]
[ser] [caso]
[caso] [em]
[em] [grupo]
[grupo] [furtar]
[furtar] [estepe]
[estepe] [em]
[em] [menino]
[menino] [deus]
[deus] [ser]
[ser] [prender]
[prender] [hipótese]
[hipótese] [de]
[de] [polícia]
[polícia] [ser]
[ser] [de]
[de] [ladrão]
[ladrão] [estar]
[estar] [de=volta]
[de=volta] [a]
[a] [rua]
[rua] [poder]
[poder] [ser]
[ser] [ladrão]
[ladrão] [de=novo]
[de=novo] [levar]
[levar] [estepe]
[estepe] [haver]
[haver] [receptador]
[receptador] [ser]
[ser] [provável]
[provável] [trocar]
[trocar] [por]
[por] [droga]
[droga] [especular]
[especular] [delegado]
[delegado] [césar=carrion]
[césar=carrion] [de]
[de] [2ª]
[2ª] [dp]
[dp] [responsável]
[responsável] [por]
[por] [área]
[área] [em]
[em] [abril]
[abril] [de]
[de] [ano]
[ano] [furto]
[furto] [em]
[em] [veículo]
[veículo] [ser]
[ser] [registrar]
[registrar] [em]
[em] [bairro]
[bairro] [em]
[em] [maio]
[maio] [até]
[até] [agora]
[agora] [já]
[já] [ser]
[ser] [caso]
[caso] [sem]
[sem] [contar]
[contar] [dono]
[dono] [não]
[não] [registrar]
[registrar] [césar]
[césar] [citar]
[citar] [caso]
[caso] [em]
[em] [semana]
[semana] [passado]
[passado] [de]
[de] [dona]
[dona] [de]
[de] [sonic]
[sonic] [estacionar]
[estacionar] [em=frente=de]
[em=frente=de] [casa]
[casa] [em]
[em] [minuto]
[minuto] [abaixo=de]
[abaixo=de] [chuva]
[chuva] [ladrão]
[ladrão] [levar]
[levar] [roda]
[roda] [não]
[não] [haver]
[haver] [investigação]
[investigação] [sobre]
[sobre] [ladrão]
[ladrão] [de]
[de] [carro]
[carro] [preto]
[preto] [delegado]
[delegado] [garantir]
[garantir] [ir]
[ir] [revisar]
[revisar] [caso]
[caso] [agora]
[agora] [com]
[com] [notícia]
[notícia] [ir]
[ir] [iniciar]
[iniciar] [investigação]
[investigação] [avisar]

[texto8] [sem]
[sem] [ferido]
[ferido] [interno]
[interno] [de]
[de] [unidade]
[unidade] [de]
[de] [fase]
[fase] [em]
[em] [porto=alegre]
[porto=alegre] [encerrar]
[encerrar] [rebelião]
[rebelião] [segundo]
[segundo] [assessoria=de=imprensa]
[assessoria=de=imprensa] [ala]
[ala] [de]
[de] [unidade]
[unidade] [poa=i=da=fase]
[poa=i=da=fase] [em]
[em] [vila=cruzeiro]
[vila=cruzeiro] [estar]
[estar] [destruir]
[destruir] [carolina=rocha]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina.rocha@diariogaucho.com.br] [pelo=menos]
[pelo=menos] [adolescente]
[adolescente] [iniciar]
[iniciar] [motim]
[motim] [em]
[em] [unidade]
[unidade] [case=poa=i]
[case=poa=i] [de]
[de] [fundação=de=atendimento=socioeducativo]
[fundação=de=atendimento=socioeducativo] [fase]
[fase] [por=volta=de]
[por=volta=de] [meio]
[meio] [dia]
[dia] [de]
[de] [segunda-feira]
[segunda-feira] [após]
[após] [mais=de]
[mais=de] [hora]
[hora] [de]
[de] [manifestação]
[manifestação] [interno]
[interno] [render]
[render] [segundo]
[segundo] [fase]
[fase] [ação]
[ação] [começar]
[começar] [em]
[em] [ala]
[ala] [de]
[de] [centro]
[centro] [em]
[em] [vila=cruzeiro]
[vila=cruzeiro] [possuir]
[possuir] [pequeno]
[pequeno] [jovem]
[jovem] [rebelar]
[rebelar] [atear]
[atear] [fogo]
[fogo] [em]
[em] [colchão]
[colchão] [munir]
[munir] [de]
[de] [arma]
[arma] [artesanal]
[artesanal] [sem]
[sem] [esclarecer]
[esclarecer] [motivo]
[motivo] [rebelar]
[rebelar] [entregar]
[entregar] [antes]
[antes] [mesmo]
[mesmo] [de]
[de] [chegada]
[chegada] [de]
[de] [batalhão=operações=especiais]
[batalhão=operações=especiais] [boe]
[boe] [por=volta=de]
[por=volta=de] [min]
[min] [em]
[em] [agosto]
[agosto] [de]
[de] [haver]
[haver] [rebelião]
[rebelião] [de]
[de] [interno]
[interno] [em]
[em] [ala]
[ala] [de]
[de] [case=poa=i.]
[case=poa=i.] [em]
